모델명,제조(수입사),차종,유형,복합_연비,1회충전주행거리,도심_연비,고속도로_연비,등급
넥쏘(NH2) FCEV 18인치,현대,승용차,다목적형,104.7,,110.8,98.2,FCEV
넥쏘(NH2) FCEV 19인치,현대,승용차,다목적형,95.1,,99.3,90.4,FCEV
넥쏘 19인치 24MY,현대,승용차,다목적형,93.7,,98.9,88,FCEV
넥쏘 17인치 24MY,현대,승용차,다목적형,96.2,,99.5,92.6,FCEV
넥쏘 수소전기차(19인치타이어),현대,승용차,다목적형,93.7,,98.9,88,FCEV
넥쏘 수소전기차(17인치타이어),현대,승용차,다목적형,96.2,,99.5,92.6,FCEV
Mercedes-Benz GLE 350 4MATIC,벤츠,승용차,다목적형,8.6,,7.9,9.5,5등급
Maserati MCPURA Cielo,마세라티,승용차,일반형,7.1,,6,9.1,5등급
Maserati MCPURA,마세라티,승용차,일반형,7,,5.9,9.1,5등급
Mercedes-Maybach SL 680 Monogram Series,벤츠,승용차,일반형,6.5,,5.5,8.3,5등급
Mercedes-Maybach S 580,벤츠,승용차,일반형,8,,6.8,10.3,5등급
Vantage Roadster,ASTON MARTIN LAGONDA LIMITED,승용차,일반형,7.5,,6.4,9.4,5등급
Mercedes-AMG G 63,벤츠,승용차,다목적형,5.8,,5.3,6.4,5등급
Mercedes-AMG SL 63 4MATIC+,벤츠,승용차,일반형,6.5,,5.5,8.3,5등급
페라리 12칠린드리 스파이더,페라리,승용차,일반형,5.8,,4.9,7.4,5등급
Mercedes-AMG GLC 43 4MATIC Coupe,벤츠,승용차,일반형,8.7,,7.6,10.8,5등급
Mercedes-AMG GLC 43 4MATIC,벤츠,승용차,일반형,8.6,,7.7,10.1,5등급
Mercedes-AMG GT 55 4MATIC+ Coupe,벤츠,승용차,일반형,6.5,,5.5,8.3,5등급
Mercedes-Benz S 580 4MATIC,벤츠,승용차,일반형,8.6,,7.3,10.9,5등급
Mercedes-Maybach S 580,벤츠,승용차,일반형,8,,6.8,10.3,5등급
Cadillac Escalade IQL,GM,승용차,다목적형,3,710,3.1,2.8,5등급
Cadillac Escalade IQ ,GM,승용차,다목적형,3.1,739,3.2,2.9,5등급
Bronco 2.3L,포드,승용차,다목적형,8.5,,7.8,9.6,5등급
카이엔 터보 GT (5인승),포르쉐,승용차,다목적형,6.5,,5.6,8,5등급
Maserati GranCabrio Modena,마세라티,승용차,일반형,8.4,,7.2,10.5,5등급
911 카레라 4 GTS,포르쉐,승용차,일반형,7.8,,6.8,9.4,5등급
911 타르가 4 GTS,포르쉐,승용차,일반형,7.8,,6.8,9.4,5등급
750S Spider,McLaren Automotive Limited,승용차,일반형,6.9,,6.2,8,5등급
GTS,McLaren Automotive Limited,승용차,일반형,6.9,,6.2,8.1,5등급
ELETRE 900 SPORT CARBON,Lotus ,승용차,다목적형,2.9,375,2.9,2.8,5등급
ELETRE 900 SPORT CARBON,Lotus ,승용차,다목적형,2.9,375,2.9,2.8,5등급
ELETRE 900 SPORT,Lotus ,승용차,다목적형,2.9,375,2.9,2.8,5등급
ELETRE 900 SPORT,Lotus ,승용차,다목적형,2.9,375,2.9,2.8,5등급
ELETRE 900 SPORT CARBON,Lotus ,승용차,다목적형,2.9,375,2.9,2.8,5등급
ELETRE 900 SPORT CARBON,Lotus ,승용차,다목적형,2.9,375,2.9,2.8,5등급
ELETRE 900 SPORT,Lotus ,승용차,다목적형,2.9,375,2.9,2.8,5등급
ELETRE 900 SPORT,Lotus ,승용차,다목적형,2.9,375,2.9,2.8,5등급
ELETRE 900 SPORT CARBON,Lotus ,승용차,다목적형,3.1,397,3.1,3.1,5등급
ELETRE 900 SPORT CARBON,Lotus ,승용차,다목적형,3.1,397,3.1,3.1,5등급
ELETRE 900 SPORT,Lotus ,승용차,다목적형,3.1,397,3.1,3.1,5등급
ELETRE 900 SPORT,Lotus ,승용차,다목적형,3.1,397,3.1,3.1,5등급
ELETRE 600 SPORT SE,Lotus ,승용차,다목적형,3.3,421,3.3,3.2,5등급
ELETRE 600 SPORT SE,Lotus ,승용차,다목적형,3.3,421,3.3,3.2,5등급
